city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Himrod,NA,NA,Miles Craft Ales @ Miles Wine Cellars,NA,NA,168 Randall Rd
Poughkeepsie,NA,NA,Mill House Brewing Company - Production,NA,NA,
Center Moriches,NA,NA,Moriches Field Brewing Company,NA,NA,
Auburn,NA,NA,Next Chapter Brewpub,NA,NA,
Riverhead,NA,NA,North Fork Brewing Company,NA,NA,
Moriah,NA,NA,Northern Harvest Brewing Company,NA,NA,
Westport,NA,NA,Ledge Hill Brewing Co,NA,NA,6700 Main St
Penn Yan,NA,NA,Lyonsmith Brewing Company,NA,NA,138 Water St
Schenectady,NA,NA,Mad Jack Brewing Co / Van Dyck Restaurant & Lounge,NA,NA,237 Union St
Corning,NA,NA,Market Street Brewing Co,NA,NA,63 W Market St # 65
Rochester,NA,NA,North American Breweries,NA,NA,445 Saint Paul St
Endicott,NA,NA,North Brewery,NA,NA,110 Washington Ave
Malone,NA,NA,Owls Rest Brewery,NA,NA,
Schroon Lake,NA,NA,Paradox Brewery / Gateway To the Adirondacks,NA,NA,
Albany,NA,NA,Perfect World Brewing Co,NA,NA,1276 Broadway
New York,NA,NA,Radiant Pig Craft Beers,NA,NA,122 W 27th St Fl 10
Cherry Valley,NA,NA,Red Shed Brewing Company,NA,NA,817 Butter Bowl Rd
Rocky Point,NA,NA,Rocky Point Artisan Ales,NA,NA,
New York,NA,NA,Ruckus Brewing Co,NA,NA,261 W 35th St Ste 1002
Auburn,NA,NA,Prison City Brewing,NA,NA,28 State St
New Paltz,NA,NA,Pull Brewing Co,NA,NA,317 Springtown Rd
Penfield,NA,NA,Rogers Beer,NA,NA,23 Woodline Dr
Rochester,NA,NA,Rohrbach Brewing Company,NA,NA,97 Railroad St
Oneonta,NA,NA,Roots Brewing Company,NA,NA,175 Main St
Mahopac,NA,NA,Route 6 Tap House/ Putnam Brewery,NA,NA,728 US-6
Chester,NA,NA,Rushing Duck Brewing Co,NA,NA,1 Battiato Ln
Holbrook,NA,NA,Saint James Brewery,NA,NA,929 Lincoln Ave Ste 11
